Number,Name,Address,Latitude,Longitude
24,BRICHERHAFF,BRICHERHAFF - AVENUE JF KENNEDY / RUE ALPHONSE WEICKER,49.632,6.1704
33,BVD K. ADENAUER,BVD K . ADENAUER - BOULEVARD KONRAD ADENAUER ( DEVANT BEI ),49.6201,6.1388
17,ROBERT SCHUMAN,ROBERT SCHUMAN - SQUARE SCHUMAN,49.6173,6.126
27,MERCIER,MERCIER - RUE DU COMMERCE / PARKING,49.5984,6.1323
62,FOIRE,bvd Pierre Frieden/circuit de la foire,49.63706,6.17044
1,LEON XIII,LEON XIII-RUE DE BONNEVOIE ( DEVANT N° 103 ),49.5981,6.1377
8,METZER PLAZ,METZER PLAZ - PLACE DE METZ,49.607,6.1273
53,LUDWIG VAN BEETHOVEN,LUDWIG VAN BEETHOVEN - RUE LUDWIG VAN BEETHOVEN ( DEVANT N° 45 ),49.59,6.1172
6,AAL BRECK,AAL BRECK - VIADUC / BOULEVARD DE LA PETRUSSE,49.6046,6.133
47,LEOPOLD GOEBEL,LEOPOLD GOEBEL - ALLEE LEOPOLD GOEBEL ( DEVANT N° 109 ),49.6122,6.1072
23,REIMERWEE,REIMERWEE - BOULEVARD K ADENAUER / RUE K KALERGI,49.6294,6.1574
45,AUBEPINES,AUBEPINES - VAL SAINTE CROIX / RUE DES AUBEPINES,49.6126,6.0977
68,UM SCHLASS,Ceinture um schlass,49.57337,6.14397
14,KNUEDLER,KNUEDLER - PLACE GUILLAUME,49.6104,6.1315
38,HELLEG GEESCHT,HELLEG GEESCHT - PLATEAU SAINT ESPRIT,49.6077,6.1349
19,PHILHARMONIE,PHILHARMONIE - AVENUE JF KENNEDY / PLACE DE L'EUROPE,49.6199,6.1444
72,AN DER BOURMICHT,Zone industrielle bourmicht/rue des mérovingiens,49.61086,6.08097
16,AMELIE,AMELIE - BOULEVARD ROYAL / AVENUE AMELIE,49.6134,6.1258
22,CAMPUS KIRCHBERG,CAMPUS KIRCHBERG - BOULEVARD JF KENNEDY / RUE K KALERGI,49.6264,6.1613
56,FISCHERHAFF,Rue de cessange 177,49.5911,6.1057
48,BGL BNP PARIBAS KIRCHBERG,BGL BNP PARIBAS KIRCHBERG - RUE EDOUARD STEICHEN ( FACE N° 10 ),49.6318,6.1741
15,THEATER PLAZ,THEATER PLAZ - PLACE DU THEATRE ( FACE N°1 ),49.6127,6.1311
37,GAULOIS,Rue des gaulois 11,49.60164,6.13736
50,MUGUETS,MUGUETS - RUE DES MUGUETS ( DEVANT N° 57 ),49.6216,6.1565
30,MERKELS PLAZ,MERKELS PLAZ - RUE JEAN BAPTISTE MERKELS / PLACE MERKELS,49.5998,6.1225
13,GELLE FRA,GELLE FRA - BOULEVARD ROOSEVELT / PLACE DE LA CONSTITUTION,49.6096,6.129
25,KIEM,KIEM - CIRCUIT DE LA FOIRE / RUE ALPHONSE WEICKER,49.6343,6.1671
65,BEI DER SCHOUL,Rue ferdinand kuhn,49.58421,6.14202
7,ROUSEGAERTCHEN,ROUSEGAERTCHEN - PLACE DES MARTYRS,49.6049,6.1296
52,BEI DER AUER,BEI DER AUER - RUE DE GASPERICH ( DEVANT N° 20 ),49.5912,6.1252
35,GASTON DIDERICH,GASTON DIDERICH - AVENUE GASTON DIDERICH,49.6098,6.1062
57,BOUILLON,Rue de Bouillon / parking,49.60001,6.10826
29,MONTEREY,MONTEREY - AVENUE DE MONTEREY ( FACE N° 49 ),49.6094,6.1193
49,MARGUERITES,MARGUERITES - RUE DES MARGUERITES ( FACE N° 105 A ),49.6237,6.1606
5,PARAISER PLAZ,PARAISER PLAZ - AVENUE DE LA LIBERTE / PLACE DE PARIS,49.6037,6.131
36,RUE J.B. GELLE,RUE J.B. GELLE - RUE JEAN- BAPTISTE GELLE ( DEVANT N° 6 ),49.5967,6.1404
10,MERL PARC,MERL PARC - RUE DU 10 SEPTEMBRE ( DEVANT N° 108 ),49.608,6.1122
2,GARE CENTRALE,GARE CENTRALE-PLACE DE LA GARE ( SUR QUAI N° 1 ),49.6002,6.1336
4,ROCADE,ROCADE-RUE DU LABORATOIRE ( DEVANT VDL ),49.6028,6.1365
55,SCHAARFEN ECK,Rue Emile Bian,49.58043,6.11465
12,ALDRINGEN,ALDRINGEN - PLACE HAMILIUS,49.6114,6.1267
44,ARELER STROOSS,ARELER STROOSS - RUE DES AUBEPINES ( FACE N° 187 ),49.6162,6.0984
31,PLACE DE FRANCE,PLACE DE FRANCE - PLACE DE FRANCE,49.6062,6.1059
39,KRAIZGRENNCHEN,KRAIZGRENNCHEN - SQUARE DE NEW- YORK,49.6133,6.117
34,KOLLEISCH,KOLLEISCH - RUE DE BRAGANCE,49.6042,6.1119
63,LABOURS,Rue des labours/Bld J.F.Kennedy,49.6301,6.16843
41,PLACE LAURENT,PLACE LAURENT - PLACE AUGUSTE LAURENT,49.6202,6.1227
28,CHARLY'S GARE,CHARLY'S GARE - BOULEVARD PRINCE HENRI,49.6126,6.1242
20,COQUE,COQUE - AVENUE JF KENNEDY / RUE ERASME,49.6219,6.1516
58,SCHLUECHTHAUS,Rue du l'abattoir,49.60136,6.11581
26,HOLLERECHER PLAZ,HOLLERECHER PLAZ - PLACE SAINT PIERRE ET ¨PAUL,49.5983,6.1178
43,LYCEE TECHNIQUE  DE BONNEVOIE,LYCEE TECHNIQUE DE BONNEVOIE - RUE DU CIMETIERE ( DEVANT N° 110 ),49.5911,6.1416
59,ST HUBERT,Rue de Merl 147 / rue st Hubert,49.60289,6.09322
69,UM REIMERWEE,Rue du kiem,49.61769,6.08276
18,CAMPUS LAMPERTSBIERG,CAMPUS LAMPERTSBIERG - RUE DE LA FAIENCERIE ( DEVANT N° 151 ),49.6219,6.1118
3,STROOSSBUERGER PLAZ,STROOSSBUERGER PLAZ - PLACE DE STRASBOURG ( FACE N° 41 ),49.6008,6.1281
66,BEIM TENNIS,Rue des Scillas,49.58237,6.13624
40,GLACIS KAPELL,GLACIS KAPELL - BOULEVARD DE LA FOIRE ( DEVANT N° 21 ),49.6147,6.1211
32,PISCINE OLYMPIQUE,PISCINE OLYMPIQUE - RUE LEON HENGEN,49.624,6.1498
21,JEAN MONNET,JEAN MONNET - BOULEVARD KONRAD ADENAUER / RUE ERASME,49.6255,6.1482
42,SQUARE ANDRE,SQUARE ANDRE - SQUARE EDOUARD ANDRE ( DEVANT N° 1 ),49.6238,6.1188
46,LONKECHER STROOSS,LONKECHER STROOSS - ROUTE DE LONGWY ( DEVANT N° 241 ),49.6055,6.1
61,FRIEDEN,Bvd Pierre frieden,49.63713,6.16458
51,SAUERWISS,SAUERWISS - RUE ABBE FRANCOIS LASCOMBE ( DEVANT N° 54 ),49.5939,6.1252
71,LES THERMES,Rue du cimetiere,49.61489,6.07275
67,PETERNELCHEN,Rue des Bruyeres,49.57756,6.13727
54,CLOCHE D' OR,CLOCHE D'OR - RUE JEAN PIRET ( DEVANT N° 3 ),49.5834,6.1156
70,GEMENG STRASSEN,Rue des romains,49.61909,6.07227
9,CONVICT,CONVICT - PLACE DU FOYER,49.6059,6.1199
60,BOCH,Rue J-F Boch,49.61925,6.10842